20191030,普陀,中远两湾城,中远两湾城,71377元/m2,118套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014141/,2000年建成 ,塔楼/板楼,1.5至2.51元/平米/月,上海中远物业管理发展有限,上海万业企业股份有限公司,97,11920户
20191030,普陀,中远两湾城,万业新阶,63369元/m2,35套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005428/,2014年建成 ,塔楼/板楼,5.8至200元/平米/月,上海印中一太戴维斯物业发展有限,上海万企爱佳房地产开发有限公司,2,675户
20191030,普陀,中远两湾城,友谊大楼,55587元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010655/,1982年建成 ,塔楼,0.5元/平米/月,上海阳光新景(集团)物业管理有限,西部集团,3,550户
20191030,普陀,中远两湾城,远景路97弄12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271538/,2006年建成 ,板楼,1.95元/平米/月,上海中远物业管理发展有限,上海万业企业股份有限公司,1,2户
20191030,普陀,中远两湾城,中潭路100弄308号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146396/,2002年建成 ,板楼,1.75元/平米/月,上海万业企业爱佳物业服务有限,上海中远置业销售策划有限公司普陀分公司,1,1户
20191030,普陀,中远两湾城,中潭路99弄99号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146450/,2002年建成 ,塔楼,1.75元/平米/月,上海中远物业管理发展有限, 陕西亿润经贸有限公司 ,1,7户
20191030,普陀,中远两湾城,远景路97弄57号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737026/,2006年建成 ,板楼,1.75元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司,1,3户
20191030,普陀,中远两湾城,中潭路99弄229号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146442/,2002年建成 ,板楼,1.95元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司,1,1户
20191030,普陀,中远两湾城,远景路97弄11号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271537/,2004年建成 ,板楼,1.95元/平米/月,中远酒店物业管理有限公司上海分,上海万业企业股份有限公司,1,3户
20191030,普陀,中远两湾城,万业一番空间,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023570805130/,2014年建成 ,板楼,5.7至19元/平米/月,上海新东慧物业管理有限,上海万企爱佳房地产开发有限公司,3,102户
20191030,普陀,中远两湾城,中潭路100弄190号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410961/,2002年建成 ,板楼,1.75元/平米/月,上海万业企业爱佳物业服务有限,中远集团,1,2户
20191030,普陀,中远两湾城,中潭路99弄113号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146436/,2002年建成 ,板楼,1.95元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司,1,2户
20191030,普陀,中远两湾城,中潭路100弄62号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024122612089/,2002年建成 ,板楼,1.75元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,1,1户
20191030,普陀,中远两湾城,中潭路100弄248号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410968/,2002年建成 ,板楼,1.75元/平米/月,暂无信息, 上海中远两湾置业发展有限公司,1,3户
20191030,普陀,中远两湾城,中潭路100弄130号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410955/,2001年建成 ,板楼,1.57元/平米/月,上海万业企业爱佳物业服务有限,上海万业企业股份有限公司,1,1户
20191030,普陀,中远两湾城,中潭路100弄12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410954/,2001年建成 ,板楼,1.57元/平米/月,上海中远众城物业服务有限,上海万业企业股份有限公司,1,1户
20191030,普陀,中远两湾城,中潭路69号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146417/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,普陀,中远两湾城,中潭路51号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146411/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,普陀,中远两湾城,中潭路91弄19号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146423/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,普陀,中远两湾城,中潭路97弄8号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146434/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,普陀,中远两湾城,中潭路100弄294号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146393/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,普陀,中远两湾城,中潭路100弄20,22,24号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410962/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,普陀,中远两湾城,远景路26号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271534/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,普陀,中远两湾城,远景路97弄3号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271547/,2006年建成 ,板楼,1.75元/平米/月,暂无信息,上海万企爱佳房地产开发有限公司,1,1户
20191030,普陀,中远两湾城,中潭路100弄236号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410967/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,普陀,中远两湾城,中潭路119号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146403/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,普陀,中远两湾城,中潭路100弄286号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146390/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,普陀,中远两湾城,远景路97弄17号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271541/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,普陀,中远两湾城,中潭路99弄139号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146438/,2003年建成 ,板楼,1.75元/平米/月,中远酒店物业管理有限公司上海分, 陕西亿润经贸有限公司 ,1,1户
20191030,普陀,中远两湾城,远景路97弄17号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271541/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,普陀,中远两湾城,中山北路1520号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002901/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,普陀,中远两湾城,飞泰公寓,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014334/,暂无信息 ,板楼,0.95元/平米/月,自主,暂无信息,1,8户
20191030,普陀,中远两湾城,中潭路100弄12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410954/,2001年建成 ,板楼,1.57元/平米/月,上海中远众城物业服务有限,上海万业企业股份有限公司,1,1户
20191030,普陀,中远两湾城,远景路97弄11号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271537/,2004年建成 ,板楼,1.95元/平米/月,中远酒店物业管理有限公司上海分,上海万业企业股份有限公司,1,3户
20191030,普陀,中远两湾城,中潭路100弄248号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410968/,2002年建成 ,板楼,1.75元/平米/月,暂无信息, 上海中远两湾置业发展有限公司,1,3户
20191030,普陀,中远两湾城,中潭路99弄113号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146436/,2002年建成 ,板楼,1.95元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司,1,2户
20191030,普陀,中远两湾城,中潭路100弄190号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410961/,2002年建成 ,板楼,1.75元/平米/月,上海万业企业爱佳物业服务有限,中远集团,1,2户
20191030,普陀,中远两湾城,远景路97弄12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271538/,2006年建成 ,板楼,1.95元/平米/月,上海中远物业管理发展有限,上海万业企业股份有限公司,1,2户
20191030,普陀,中远两湾城,中潭路100弄130号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410955/,2001年建成 ,板楼,1.57元/平米/月,上海万业企业爱佳物业服务有限,上海万业企业股份有限公司,1,1户
20191030,普陀,中远两湾城,万业一番空间,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023570805130/,2014年建成 ,板楼,5.7至19元/平米/月,上海新东慧物业管理有限,上海万企爱佳房地产开发有限公司,3,102户
20191030,普陀,中远两湾城,中潭路99弄99号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146450/,2002年建成 ,塔楼,1.75元/平米/月,上海中远物业管理发展有限, 陕西亿润经贸有限公司 ,1,7户
20191030,普陀,中远两湾城,远景路97弄57号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737026/,2006年建成 ,板楼,1.75元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司,1,3户
20191030,普陀,中远两湾城,中潭路100弄308号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146396/,2002年建成 ,板楼,1.75元/平米/月,上海万业企业爱佳物业服务有限,上海中远置业销售策划有限公司普陀分公司,1,1户
20191030,普陀,中远两湾城,中潭路99弄229号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146442/,2002年建成 ,板楼,1.95元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司,1,1户
20191030,普陀,中远两湾城,中潭路100弄62号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024122612089/,2002年建成 ,板楼,1.75元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,1,1户
20191030,普陀,中远两湾城,中山北路1760弄,55672元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008534/,1972年建成 ,板楼,0.6元/平米/月,上海中山物业有限,上海宜民房地产开发经营有限公司,5,180户
